ID,keywords,acountType,joinedDate,following,followers,location,tweet,translatedTweet,tweetType,datePosted,contentType,likes,replies,retweets,quotes,zQuotes,quotedTweet
130,"peso, dollar, sandro",Identified,2005-11-30T16:00:00.000Z,570,6950,Philippines,"""The peso is weak because the dollar is strong"" statement ni Sandro that the eedyots picked up without listening to the whole beat is a sign of their unending idiocy.  Wag nyo igaya kay @lenirobredo si Sandro. Her LUGAW BRAIN is phenomenal.","""The peso is weak because the dollar is strong"" statement of Sandro that the idiots picked up without listening to the whole beat is a sign of their unending idiocy.  Don't turn Sandro into @lenirobredo. Her LUGAW BRAIN is phenomenal.",Text,2022-11-10T15:18:00.000Z,Emotional,6,0,1,0,-0.11,None
131,"peso, dollar, sandro",Media,2004-10-31T16:00:00.000Z,2132,707683,Philippines,"""THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG.""

Sa isang press briefing, ipinaliwanag ni Ilocos Norte 1st District Rep. Sandro Marcos kung bakit patuloy ang pagsadsad ng halaga ng piso kontra dolyar. #News5 

WATCH: https://t.co/ubysWYBNEl https://t.co/3jBjGPKVbj","""THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG.""

In a press briefing, Ilocos Norte 1st District Rep explained. Sandro Marcos why the value of the peso continues to fall down against the dollar. #News5

WATCH: https://t.co/ubysWYBNEl https://t.co/3jBjGPKVbj","Text,URL",2022-11-10T15:06:00.000Z,Rational,7,6,0,3,-0.07,None
132,"peso, weak, dollar, strong",Identified,2005-09-30T16:00:00.000Z,584,4060,Philippines,"So today we were told that the rising prices are okay, and are in fact necessary, and the peso is not weak, it's just that the dollar is strong. It's a good day.","So today we were told that the rising prices are okay, and are in fact necessary, and the peso is not weak, it's just that the dollar is strong. It's a good day.",Text,2022-11-10T14:38:00.000Z,Rational,4,0,1,0,-0.11,None
133,"peso, weak, dollar, strong",Identified,2006-09-30T16:00:00.000Z,767,253,Philippines,TLDR: weak peso is caused by strong US dollar. Yan lang dapat. 😅,TLDR: weak peso is caused by strong US dollar. It should only be that. 😅,"Text,Quote",2022-11-10T14:33:00.000Z,Rational,0,0,0,0,-0.11,https://twitter.com/inquirerdotnet/status/1579829265058918401
134,"peso, weak, dollar, strong",Anonymous,2010-11-30T16:00:00.000Z,1596,647,Philippines,"Sandro's statement that ""THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG"" is clickbait on media's end

tbf, he explains and seems to understand the currency situation fairly well

he's already probably smarter and makes more sense than his dad lmao","Sandro's statement that ""THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG"" is clickbait on media's end

tbf, he explains and seems to understand the currency situation fairly well

he's already probably smarter and makes more sense than his dad lmao",Text,2022-11-10T14:26:00.000Z,Rational,8,3,0,0,-0.11,None
135,"peso, dollar, sandro",Media,2006-09-30T16:00:00.000Z,669,372059,Philippines,"THE PESO IS NOT WEAK BECAUSE THE PESO IS WEAK.'

Ilocos Norte 1st District Rep. Sandro Marcos claimed that the Philippine peso is currently in a downfall because the US dollar is just so strong now. | https://t.co/X1mtCxpmDT

READ: https://t.co/Rf6iwIojtF https://t.co/Y811uAZoxT","THE PESO IS NOT WEAK BECAUSE THE PESO IS WEAK.'

Ilocos Norte 1st District Rep. Sandro Marcos claimed that the Philippine peso is currently in a downfall because the US dollar is just so strong now. | https://t.co/X1mtCxpmDT

READ: https://t.co/Rf6iwIojtF https://t.co/Y811uAZoxT","Text,Image,URL",2022-11-10T14:14:00.000Z,Rational,5,3,1,6,-0.04,None
136,"peso, dollar, sandro",Media,2007-08-31T16:00:00.000Z,1810,3731332,Philippines,"THE PESO IS NOT WEAK BECAUSE THE PESO IS WEAK.'

Ilocos Norte 1st District Rep. Sandro Marcos claimed that the Philippine peso is currently in a downfall because the US dollar is just so strong now.

READ: https://t.co/zh9syUeI1L https://t.co/7GCWE4grgZ","THE PESO IS NOT WEAK BECAUSE THE PESO IS WEAK.'

Ilocos Norte 1st District Rep. Sandro Marcos claimed that the Philippine peso is currently in a downfall because the US dollar is just so strong now.

READ: https://t.co/zh9syUeI1L https://t.co/7GCWE4grgZ","Text,Image,URL",2022-11-10T13:40:00.000Z,Rational,415,205,46,344,3.84,None
137,"peso, dollar, sandro",Anonymous,2015-07-31T16:00:00.000Z,734,1003,Unidentified,the peso is weak bc the dollar is strong 🤩😖🥺😣🙏 - boss lodi sandro marcos 🥰😴❤️😎,the peso is weak bc the dollar is strong 🤩😖🥺😣🙏 - boss idol sandro marcos 🥰😴❤️😎,Text,2022-11-10T13:17:00.000Z,"Rational,Emotional",5,2,0,0,-0.11,https://twitter.com/lakwatsarah/status/1579753618265497601
138,"peso, dollar, sandro",Media,2007-08-31T16:00:00.000Z,1810,3731332,Philippines,"Marcos: “The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong.” | @GabrielLaluINQ https://t.co/uO58jXalZF","Marcos: “The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong.” | @GabrielLaluINQ https://t.co/uO58jXalZF","Text,Image,URL",2022-11-10T12:46:00.000Z,Rational,1960,538,198,1013,11.51,None
139,"peso, weak, dollar, strong",Anonymous,2006-09-30T16:00:00.000Z,2164,2203,International,"RP economy is stable and strong, bcoz of these the peso has not weakened. The peso is seemingly weaker bcoz  exchange rate with the dollar is higher, but its due to the STRENGTH  o d US DOLLAR &amp; its HIGH INTEREST rate, NOT  BCOZ  RP ECONOMY IS WEAK causing d fall of d peso.","RP economy is stable and strong, because of these the peso has not weakened. The peso is seemingly weaker because  exchange rate with the dollar is higher, but its due to the STRENGTH  o d US DOLLAR & its HIGH INTEREST rate, NOT  BECAUSE  RP ECONOMY IS WEAK causing the fall of the peso.",Text,2022-11-10T12:36:00.000Z,Rational,0,0,0,0,-0.11,None
140,"peso, weak, dollar, strong",Anonymous,2020-10-31T16:00:00.000Z,160,178,Unidentified,"As much as I don't like this guy, what he's saying is true. The peso is weak because the dollar is strong. US is hiking its interest rates to defeat inflation. USD strengthens because it has become high-yielding, other currencies sink (Not just PHP, also EUR, JPY, etc.)","As much as I don't like this guy, what he's saying is true. The peso is weak because the dollar is strong. US is hiking its interest rates to defeat inflation. USD strengthens because it has become high-yielding, other currencies sink (Not just PHP, also EUR, JPY, etc.)","Text,Quote",2022-11-10T12:36:00.000Z,Rational,8,0,1,0,-0.11,https://twitter.com/iMPACTPH2019/status/1579754408333967361
141,"peso, weak, dollar, strong",Anonymous,2013-08-31T16:00:00.000Z,89,129,Unidentified,"Okay Sandro let's get to the bottom of this. Granted that the peso is weak, not because it's weak but because the dollar is strong. The question still remains: What is the current administration doing to atleast alleviate it's impact on the poor masses?","Okay Sandro let's get to the bottom of this. Granted that the peso is weak, not because it's weak but because the dollar is strong. The question still remains: What is the current administration doing to atleast alleviate it's impact on the poor masses?",Text,2022-11-10T12:03:00.000Z,Transactional,1,0,0,0,-0.11,None
142,"peso, weak, dollar, strong",Anonymous,2021-11-30T16:00:00.000Z,360,379,Unidentified,because i would like to make one thing clear... the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,because i would like to make one thing clear... the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,"Text,Quote",2022-11-10T11:31:00.000Z,Rational,1,0,0,0,-0.11,https://twitter.com/maobabie/status/1579562895285055489
143,"peso, weak, dollar, strong",Anonymous,2007-09-30T16:00:00.000Z,1163,407,Philippines,Peso (our own currency) is getting weak because the dollar is getting strong as it is a safety net for many other currencies. He has a point and I don't blame him. He actually makes sense. Some people convert their currencies to dollar. The global market is trading in dollar.,Peso (our own currency) is getting weak because the dollar is getting strong as it is a safety net for many other currencies. He has a point and I don't blame him. He actually makes sense. Some people convert their currencies to dollar. The global market is trading in dollar.,"Text,Quote",2022-11-10T11:16:00.000Z,Rational,1,1,1,0,-0.11,https://twitter.com/iMPACTPH2019/status/1579754408333967361
144,"peso, weak, dollar, strong",Anonymous,2020-02-29T16:00:00.000Z,122,65,Philippines,"“I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.”

Yes","“I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.”

Yes",Text,2022-11-10T10:57:00.000Z,Rational,0,0,0,0,-0.11,None
145,"peso, weak, dollar, strong",Identified,2006-09-30T16:00:00.000Z,357,105,Philippines,"""I would like to make one thing clear... The dollar is not strong because the dollar is strong. The dollar is strong because the peso is weak."" https://t.co/VHgrgSt56f","""I would like to make one thing clear... The dollar is not strong because the dollar is strong. The dollar is strong because the peso is weak."" https://t.co/VHgrgSt56f","Text,Image",2022-11-10T09:29:00.000Z,Rational,0,0,0,0,-0.11,None
146,"peso, weak, dollar, strong",Anonymous,2011-10-31T16:00:00.000Z,1625,16970,Philippines,"As the peso becomes weaker not because it is weak but because the dollar is strong, government has done the following:

✅️ 20% increase in import volume YoY as of Septmber 2022
✅️ borrowed $2 billion in dollar bonds in October 2022","As the peso becomes weaker not because it is weak but because the dollar is strong, government has done the following:

✅️ 20% increase in import volume YoY as of Septmber 2022
✅️ borrowed $2 billion in dollar bonds in October 2022","Text,Quote",2022-11-10T08:52:00.000Z,Rational,42,2,7,0,-0.11,https://twitter.com/markyscrackling/status/1579754384715812864
147,"peso, dollar, sandro",Anonymous,2014-01-31T16:00:00.000Z,326,213,Unidentified,"It's funny how ppl do hate Sandro bcos he explained why the peso is weak against the US dollar. Kung trader ka at matalino ka maka Leni ka man or BBM, you'll get his point. Simple microeconomics and macroeconomics lang, magegets mo yung explanation ni Sandro.","It's funny how ppl do hate Sandro bcos he explained why the peso is weak against the US dollar. If you are a trader and intelligent even if you side with Leni or BBM, you'll get his point. With just simple microeconomics and macroeconomics, you'll get the explanation of Sandro.",Text,2022-10-15T23:43:00.000Z,Rational,1,1,0,0,-0.11,None
148,"peso, dollar, sandro",Anonymous,2020-09-30T16:00:00.000Z,706,1949,Unidentified,"regarding sandro's statement that ""the peso is not weak, the dollar is strong.""

at it's surface, it may appear a tautology, but there is some level of truth to it. +

https://t.co/mIEqNZqx26","regarding sandro's statement that ""the peso is not weak, the dollar is strong.""

at it's surface, it may appear a tautology, but there is some level of truth to it. +

https://t.co/mIEqNZqx26","Text,URL",2022-10-15T03:56:00.000Z,Rational,1,1,0,0,-0.11,None
149,"peso, dollar, sandro",Anonymous,2015-12-31T16:00:00.000Z,24,24,Unidentified,"tbf tama naman talaga ‘yung statement ni sandro re: dollar and peso relationship. ang mali lang, walang action plan. nugagawen namin sa explanation mo",tbf sandro's statement re: dollar and peso relationship is true. what's wrong is there's not action plan. what are we gonna do with your explanation.,Text,2022-10-14T07:57:00.000Z,"Rational,Emotional",2,1,0,0,-0.11,None
150,"peso, dollar, sandro",Identified,2019-08-31T16:00:00.000Z,643,296,Philippines,"Sandro Marcos is actually correct. Because of the US Federal Reserve’s tightening monetary policy, the peso including all other currencies are devaluing compared to the dollar. https://t.co/CH2fzL5z4M","Sandro Marcos is actually correct. Because of the US Federal Reserve’s tightening monetary policy, the peso including all other currencies are devaluing compared to the dollar. https://t.co/CH2fzL5z4M","Text,Image",2022-12-10T02:56:00.000Z,Rational,2,1,0,0,-0.11,None
